ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Expected Years of Schooling (1990),Expected Years of Schooling (1991),Expected Years of Schooling (1992),Expected Years of Schooling (1993),Expected Years of Schooling (1994),Expected Years of Schooling (1995),Expected Years of Schooling (1996),Expected Years of Schooling (1997),Expected Years of Schooling (1998),Expected Years of Schooling (1999),Expected Years of Schooling (2000),Expected Years of Schooling (2001),Expected Years of Schooling (2002),Expected Years of Schooling (2003),Expected Years of Schooling (2004),Expected Years of Schooling (2005),Expected Years of Schooling (2006),Expected Years of Schooling (2007),Expected Years of Schooling (2008),Expected Years of Schooling (2009),Expected Years of Schooling (2010),Expected Years of Schooling (2011),Expected Years of Schooling (2012),Expected Years of Schooling (2013),Expected Years of Schooling (2014),Expected Years of Schooling (2015),Expected Years of Schooling (2016),Expected Years of Schooling (2017),Expected Years of Schooling (2018),Expected Years of Schooling (2019),Expected Years of Schooling (2020),Expected Years of Schooling (2021)
AZE,Azerbaijan,Asia,Northern Hemisphere,High,ECA,91,11.0690403,11.00049019,11.03785992,10.8030901,10.44034004,10.23556995,9.938559532,9.844639778,10.009656,10.17467222,10.33968844,10.50470466,10.66972088,10.8347371,10.99975332,11.16476954,11.32978576,11.49480198,11.6598182,11.82483441,11.98985063,12.15486685,12.31988307,12.48489929,12.64991551,12.81493173,12.97994795,13.14496417,13.30998039,13.47167015,13.49689007,13.49689007
BDI,Burundi,Africa,Southern Hemisphere,Low,SSA,187,4.517509937,4.67140007,4.496829987,4.789209843,4.751546085,4.713882327,4.676218569,4.638554811,4.600891054,4.563227296,4.525563538,4.48789978,4.851799965,5.294945002,5.738090038,6.056119919,7.438610077,8.134220123,8.883244991,9.632269859,10.24674988,10.53827477,10.82979965,11.06155014,11.37755013,11.52795982,11.48011017,10.93010998,10.77536964,10.72272189,10.72272189,10.72272189
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13,14.03106022,14.07164955,15.30761433,16.5435791,16.8515892,17.26285934,17.59056091,17.63903745,17.68751399,17.73599052,17.92453957,18.38311005,18.42923927,18.61226082,18.3640995,18.71475983,18.94267082,18.96904945,18.99139023,19.01243019,19.07272911,19.12809944,19.22763062,19.41551018,19.69639015,19.76292038,19.69990921,19.77437973,19.5610199,19.60421944,19.60421944,19.60421944
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166,5.29268,5.412683333,5.532686667,5.65269,5.772693333,5.892696667,6.0127,6.132703333,6.252706667,6.460440159,6.7301898,7.39605999,7.881559849,8.28660965,8.676859856,9.071244104,9.465628351,9.860012599,10.25439685,10.6487811,11.04316534,11.43754959,11.99856472,12.55957985,12.56748962,12.80451012,12.61454964,12.15258217,11.6906147,11.22864723,10.76667976,10.76667976
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184,2.471770048,2.591730118,2.666199923,2.766360044,2.889139891,2.999229908,3.109319925,3.219409943,3.32949996,3.439589977,3.519029975,3.598469973,3.756090045,3.913710117,4.284245014,4.654779911,4.932059765,5.392109871,5.865530014,6.287809849,6.710559845,7.163340092,7.472980022,7.72631979,7.867080212,8.258930206,8.525589943,8.906479836,9.273730278,9.262040138,9.142100334,9.142100334
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129,5.832300186,6.022955513,6.21361084,6.404266167,6.594921494,6.78557682,6.976232147,7.166887474,7.357542801,7.548198128,7.738853455,7.929508781,8.120164108,8.310819435,8.501474762,8.692130089,8.817440033,8.862529755,8.651410103,9.224510193,9.52120769,9.817905188,10.11460268,10.41130018,10.70799768,11.00469518,11.30139267,11.59809017,12.03569031,12.23883533,12.44198036,12.44198036
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68,12.01097965,12.13146019,11.96708965,11.87059021,11.80574036,12.14505005,12.5900898,12.69814014,12.78738976,12.90668011,12.89188957,12.89208031,12.82250977,13.21469975,13.40837955,13.50434017,13.61937046,13.98136044,14.07046986,14.16950035,14.42580032,14.4906702,14.52600956,14.90898991,15.08736992,14.94668007,14.64490986,14.41442013,14.19587994,13.89729023,13.89729023,13.89729023
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35,13.88512287,13.60251045,13.32565022,13.58314037,13.5984602,13.69696045,13.61559963,13.49435965,13.37311967,13.25187969,13.32763982,13.40339994,13.47916007,13.5549202,13.31849527,13.08207035,13.21131992,13.28608189,13.36084385,13.43560581,13.51036777,13.58512974,13.35527039,13.5202198,13.6883297,15.99201965,16.34917068,16.41513062,16.25481987,16.29755974,16.29755974,16.29755974
BHS,Bahamas,America,Northern Hemisphere,Very High,LAC,55,,,,,,11.72089958,11.78610417,11.85726833,11.9284325,11.99959667,12.07076083,12.141925,12.21308917,12.28425333,12.3554175,12.42658167,12.49774583,12.3839979,12.3489141,12.40812859,12.46734308,12.52655756,12.58577205,12.64498654,12.70420103,12.76341551,12.82263,12.82263,12.82263,12.89945,12.89945,12.89945
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74,,,,,,,,,,,11.64,11.852,12.064,12.276,12.488,12.7,12.9,13.1,13.3,13.3,13.4,13.86986,14.17568,14.09806667,14.02045333,13.94284,13.86522667,13.78761333,13.78761333,13.8,13.8,13.8
BLR,Belarus,Europe,Northern Hemisphere,Very High,ECA,60,12.98762035,12.82841015,12.56779957,12.5387001,12.49347019,12.56346989,12.90583038,12.96228027,12.89881039,13.15797338,13.41713638,13.67629938,13.93546238,14.19462538,14.45378838,14.71295137,14.97211437,15.23127737,15.49044037,15.57968044,15.59533978,15.72727013,15.84352016,15.72134018,15.62298012,15.56527996,15.58063984,15.58522987,15.40478992,15.23906994,15.16996956,15.16996956
BLZ,Belize,America,Northern Hemisphere,Medium,LAC,123,9.961448904,10.12103037,10.28316832,10.44790371,10.61527814,10.78533389,10.95811392,11.13366187,11.31202208,11.49323961,11.67736022,11.86443043,12.20408535,12.54374027,12.84521008,12.30352974,12.81752968,12.76706982,12.70681953,12.44060993,12.43103027,12.50613976,12.90536976,12.75833035,12.74405003,12.79226017,13.43655014,13.11357975,13.14904976,13.14089012,12.99168968,12.99168968
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118,11.58170251,11.93004266,12.28885977,12.65846893,13.03919474,13.64727287,14.25535101,14.86342914,15.47150728,15.09439366,14.71728005,14.34016643,13.96305281,13.58593919,13.20882558,13.93571091,13.92763519,14.26336479,14.31380558,14.28142166,14.24979448,14.2181673,14.38624668,14.57401371,14.04903984,13.97757244,14.49550819,14.90059471,15.01584721,14.94697094,14.94697094,14.94697094
BRA,Brazil,America,Southern Hemisphere,High,LAC,87,12.10387,12.32611417,12.54835833,12.7706025,12.99284667,13.21509083,13.437335,13.65957917,13.88182333,14.1040675,14.32631167,14.54855583,14.77079964,14.01426983,13.85000992,13.77737045,13.54003525,13.30270004,13.80420971,13.78225994,13.85643482,13.9306097,13.93663025,15.29059029,15.41777039,15.36513042,15.45316982,15.48515987,15.70306015,15.59906006,15.59906006,15.59906006
BRB,Barbados,America,Northern Hemisphere,High,LAC,70,12.77293015,12.909299,13.04566786,13.18203672,13.31840558,13.45477443,13.59114329,13.72751215,13.86388101,14.00024986,14.03750992,13.9832201,14.1938084,14.40439669,14.61498499,14.82557329,15.03616158,15.24674988,15.53966475,15.83257961,15.47286034,15.28594971,15.33873663,15.39170584,15.44485797,15.49819365,15.55171351,15.6054182,15.65930834,15.71338458,15.71338458,15.71338458
BRN,Brunei,Asia,Northern Hemisphere,Very High,EAP,51,11.82485347,12.03989128,12.25883961,12.48176956,12.60186005,12.67656755,12.75127506,12.82598257,12.90069008,13.21045017,13.18352985,13.11894035,13.22542953,13.52630997,13.89377975,14.09928989,14.14715958,14.03194046,13.96432018,14.11898994,14.07944012,14.34918022,14.91536999,14.93539047,14.87514973,14.62773037,14.59230995,14.46683025,14.3050499,14.06389046,13.95178032,13.95178032
BTN,Bhutan,Asia,Northern Hemisphere,Medium,SA,127,4.638173857,4.862608903,5.097904062,5.34458484,5.603202172,5.874333651,6.158584821,6.456590526,6.76901633,7.096560001,7.474788268,7.853016535,8.231244802,8.60947307,8.987701337,9.365929604,9.828700066,10.22360992,10.6266098,11.19859982,11.67940998,12.15114021,12.54778004,12.50473022,12.62421227,12.74369431,12.86317635,12.98265839,13.10214043,13.22500478,13.22500478,13.22500478
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117,10.8159417,10.85219002,10.88855982,10.92492962,10.89109039,11.34827995,11.57822005,11.80816015,12.03810024,12.43167019,12.59014034,12.64445019,12.43245029,12.49789047,12.48451996,12.47957039,12.61843014,12.53254986,12.42366028,12.40916486,12.39468636,12.38022475,12.36578001,12.35135213,12.33694108,12.32254684,12.3081694,12.29380874,12.27946483,12.26513765,12.26513765,12.26513765
CAF,Central African Republic,Africa,Northern Hemisphere,Low,SSA,188,5.387440205,5.059050083,4.283880234,4.408046105,4.532211977,4.656377848,4.78054372,4.904709592,5.028875463,5.153041335,5.277207206,5.401373078,5.525538949,5.649704821,5.773870693,5.898036564,6.022202436,6.146368307,6.270534179,6.39470005,6.62659502,6.85848999,6.847280025,7.006191114,7.168790198,7.335162868,7.5053967,7.679581304,7.85780837,8.040171714,8.040171714,8.040171714
CAN,Canada,America,Northern Hemisphere,Very High,,15,16.76796913,17.12656021,17.26371956,16.8500309,16.95997047,16.94639015,16.95886993,16.51167965,16.06448936,15.96514988,15.88033962,15.78278392,15.68522821,15.58767251,15.4901168,15.3925611,15.29500539,15.19744968,15.17990971,15.23289013,15.12164974,15.23602962,15.65993023,15.73849964,15.80449009,15.89140034,16.00966072,16.15789032,16.22464943,16.39625931,16.39625931,16.39625931
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1,13.42648029,13.62067032,13.77219009,14.13531971,14.27805996,14.43200016,14.57855034,14.80767012,15.03678989,15.11299992,15.21967983,15.23707962,15.02394962,15.16263962,15.26268959,15.26478958,15.32474995,15.35081959,15.38848019,15.45699978,15.62874985,15.73497963,15.81684017,15.98027039,16.08714008,16.19400978,16.24938011,16.32843971,16.41327095,16.50029945,16.50029945,16.50029945
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42,12.75809093,12.73246956,12.70689964,11.70440006,11.86658802,12.02877598,12.19096394,12.35315189,12.51533985,12.97222042,13.15431976,13.3077898,13.46125984,13.67539024,14.01912975,14.36555004,14.32129955,14.72467041,14.87129974,14.87985039,15.10027027,15.32625008,15.43756962,16.1086998,16.24946976,16.36503983,16.41803932,16.44754982,16.58595085,16.73130035,16.73130035,16.73130035
CHN,China,Asia,Northern Hemisphere,High,EAP,79,8.630220413,8.670319557,8.771459579,8.812950134,8.806750298,8.94740963,9.08220005,9.119890213,9.309840202,9.499790192,9.689740181,9.87969017,10.1829422,10.48619423,10.78944626,11.09269829,11.39595032,11.72490025,11.99339962,12.2343502,12.42572021,12.63595018,12.84618015,13.05641012,13.26664009,13.47687006,13.68710003,13.89733,14.03231,14.2361149,14.2361149,14.2361149
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159,5.553355463,5.65919955,5.767060971,5.876978174,5.988990343,6.103137406,6.219460053,6.337999749,6.458798751,6.58190012,6.712220764,6.842541409,6.972862053,7.103182697,7.233503342,7.363823986,7.49414463,7.624465275,7.754785919,7.885106564,8.015427208,8.145747852,8.276068497,8.406389141,8.536709785,8.892459869,9.4792099,9.954739571,10.21954966,10.48435974,10.67558002,10.67558002
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151,8.152429581,8.102689743,7.971072257,7.83945477,7.707837284,7.576219797,7.444602311,7.312984824,7.181367338,7.049749851,7.280370235,8.555069923,8.284290314,8.423390388,8.461409569,8.420700073,8.196840286,8.967740059,9.401260376,9.870570183,10.23908997,10.60760975,11.20685005,11.52208519,11.83732033,12.15102959,12.10426044,12.43018527,12.76488609,13.10859922,13.10859922,13.10859922
COD,The Democratic Republic of the Congo,Africa,Northern Hemisphere,Low,SSA,179,6.211513732,6.308457341,6.406913956,6.506907191,6.608461029,6.711599827,6.819668969,6.92773811,7.035807252,7.143876394,7.251945535,7.360014677,7.468083819,7.57615296,7.684222102,7.792291244,7.900360386,8.008429527,8.737790108,8.856789589,9.199039936,9.541290283,9.336259842,9.60517025,9.640296569,9.675551346,9.71093505,9.746448153,9.782091129,9.817864451,9.817864451,9.817864451
COG,Congo,Africa,Southern Hemisphere,Medium,SSA,153,11.00813007,10.81482029,10.72931957,10.57212658,10.41493359,10.25774059,10.1005476,9.943354607,9.786161613,9.62896862,9.471775627,9.314582634,9.157389641,8.909790039,9.112368902,9.314947764,9.517526627,9.720105489,9.922684352,10.12526321,10.32784208,10.53042094,10.7329998,10.94790996,11.16712334,11.39072609,11.6188061,11.85145304,12.08875833,12.33081527,12.33081527,12.33081527
COL,Colombia,America,Northern Hemisphere,High,LAC,88,8.941541632,9.490810394,10.07382011,10.25879955,10.38840008,10.45281029,11.00516987,11.36605501,11.72694016,11.66399956,11.65308952,11.65300989,11.65293026,11.9110651,12.16919994,12.69102955,13.0490799,13.31727028,13.51774025,13.94388962,13.9293499,14.02896976,13.75541973,14.28950977,14.22657967,14.29211044,14.41985989,14.40923977,14.39857006,14.51506042,14.44274998,14.44274998
COM,Comoros,Africa,Southern Hemisphere,Medium,SSA,156,8.155587341,8.171094053,8.186630249,8.202195985,8.217761721,8.233327457,8.248893193,8.264458929,8.280024665,8.295590401,8.631580353,8.967570305,9.303560257,9.639550209,9.800420189,9.961290169,10.12216015,10.28303013,10.44390011,10.60477009,10.76564007,10.92651005,11.08738003,11.24825001,11.24470043,11.37745339,11.51177361,11.64767958,11.78519004,11.92432393,11.92432393,11.92432393
CPV,Cabo Verde,Africa,Northern Hemisphere,Medium,SSA,128,,,,,,,,,,,11.53789997,11.26502991,11.5943203,11.52488995,11.41362,11.57098007,12.32139015,12.34261036,12.57143021,12.60636997,12.7974596,13.01834011,13.03555012,13.48058033,13.40017033,13.14307022,13.04734993,12.95409966,12.70419979,12.55461444,12.55461444,12.55461444
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58,9.794050217,10.03783989,10.30109024,10.45274687,10.6044035,10.75606012,10.90771675,11.05937338,11.21103001,11.36268663,11.51434326,11.66599989,11.81765652,11.96931314,12.12096977,12.43371119,12.7464526,13.05919402,13.37193544,13.68467685,13.99741827,14.31015968,14.50245953,14.7502203,15.11124039,15.23608017,15.4200201,15.66736984,15.8667202,16.54577065,16.54577065,16.54577065
CUB,Cuba,America,Northern Hemisphere,High,LAC,83,12.21516037,12.10655022,11.98618984,11.89202023,11.36503983,11.2565403,11.73295975,11.72490025,11.90639019,12.08788013,12.33483982,12.61674976,12.97049046,13.38177967,14.37172985,14.8412199,16.11899948,17.01877975,17.48694992,17.29541969,16.34538078,15.64000034,14.70438957,13.97082043,13.96555996,13.76951981,13.81694984,14.09766006,14.2809,14.4114399,14.44305992,14.44305992
CYP,Cyprus,Asia,Northern Hemisphere,Very High,,29,9.226169586,9.344320297,9.331640244,12.35991001,12.39344978,12.51867962,12.58349037,12.63119984,12.57108974,12.51097965,12.40380001,12.50660992,12.95118046,13.37049961,13.49674988,13.44655037,13.53201962,13.71588993,14.06836987,14.57304001,13.84634018,13.79706001,13.78989029,14.0009203,14.25613022,14.57015038,14.74003983,15.16886997,15.35606003,15.64826965,15.64826965,15.64826965
CZE,Czechia,Europe,Northern Hemisphere,Very High,,32,11.83512974,11.82269955,11.63922977,11.86242008,12.39513016,12.72935963,13.08154011,13.27126026,13.13521957,13.20551014,13.87837982,14.32462025,14.57211971,14.83358955,14.60776043,14.84366035,15.00053978,15.29292965,15.46100044,15.83553982,16.01416016,16.07696915,16.07591057,16.61016083,16.74843979,16.8604393,16.83116913,16.78511047,16.23899078,16.21968079,16.21968079,16.21968079
DEU,Germany,Europe,Northern Hemisphere,Very High,,9,14.56072642,14.68710995,14.81459045,15.50872993,15.65505028,15.7678299,15.85593033,15.93840981,15.9880929,16.03777599,16.08745909,16.13714218,16.18682528,16.23650837,16.28619146,16.33587456,16.38555765,16.43524075,16.48492384,16.53460693,16.58429003,16.63397312,16.68365622,16.73333931,16.73534012,16.78933907,16.87524033,16.97719002,16.93209076,17.01013947,17.01013947,17.01013947
DJI,Djibouti,Africa,Northern Hemisphere,Low,AS,171,2.601186608,2.692800045,2.787640095,2.571929932,2.739470005,2.829485059,2.919500113,2.99657011,3.009010077,3.021450043,2.971889973,3.385519981,3.548860073,3.808030128,4.067200184,4.357200146,4.50620985,4.972390175,5.337150097,5.583350182,6.019780159,6.456210136,6.530976109,6.605742082,6.680508055,6.755274027,6.83004,6.83112,7.13947,7.43298,7.43298,7.43298
DMA,Dominica,America,Northern Hemisphere,High,LAC,102,,,,,,,,,,,12.72753188,12.75800689,12.78855487,12.819176,12.84987045,12.88063839,12.91148,12.94752,12.98356,13.0196,13.05564,13.06678,13.09806731,13.12942954,13.16086686,13.19237946,13.22396751,13.2556312,13.2873707,13.3191862,13.3191862,13.3191862
DNK,Denmark,Europe,Northern Hemisphere,Very High,,6,14.06153965,14.20090961,14.27690983,14.59694004,14.92171955,15.12403965,15.37061024,15.55623531,15.74186039,16.44960976,16.23390961,16.58344078,16.31981087,16.47481537,16.62981987,16.87528038,16.72458076,16.81782913,16.75205994,16.79486084,16.94296074,18.41773033,18.6777401,19.14090919,19.13853073,19.23700905,19.06605911,18.89341927,18.79369926,18.71479988,18.71479988,18.71479988
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80,9.143647877,9.316756071,9.493141561,9.672866393,9.855993789,10.04258817,10.23271516,10.42644165,10.62383579,10.82496701,11.02990605,11.24678139,11.46365672,11.68053205,11.89740739,12.11428272,12.33115805,12.54803338,12.76490872,12.98178405,13.19865938,13.41553472,13.63241005,13.69433022,13.75625038,14.0928297,14.14081955,14.22251987,14.34401997,14.46655802,14.46655802,14.46655802
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91,9.658769608,9.710650444,9.820469856,9.840649605,9.914270401,9.901869774,10.05828953,10.30550639,10.55272325,10.79994011,10.99380493,11.18766975,11.52264977,11.74497032,12.05364037,12.26202011,12.34442043,12.57499981,13.06785488,13.56070995,13.99880028,14.33228016,14.33228016,14.33228016,14.3813828,14.43048545,14.47958809,14.52869073,14.57779338,14.62689602,14.62689602,14.62689602
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95,11.82929039,11.66971016,11.8294235,11.98913683,12.14885017,12.3085635,12.46827684,12.62799018,12.78770351,12.94741685,13.10713019,13.26684352,13.42655686,13.5862702,13.74598353,13.90569687,14.06541021,14.22512354,14.38483688,14.54455021,14.70426355,14.86397689,15.02369022,14.91156006,15.05500507,15.19845009,15.07669004,14.95492999,14.83316994,14.62423038,14.62423038,14.62423038
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97,9.697939873,9.745200157,9.912141442,10.07908273,10.24602401,10.4129653,10.57990658,10.74684787,10.91378915,11.08073044,11.18654537,11.29236031,11.3446703,11.19305038,11.2580204,11.35194836,11.44587631,11.53980427,11.63373222,11.72766018,11.9167099,11.98482037,12.4344101,12.73591995,12.73727036,12.93128538,13.12530041,13.32623959,13.60529995,13.78649972,13.78649972,13.78649972
ERI,Eritrea,Africa,Northern Hemisphere,Low,SSA,176,,,,,,5.223760128,5.232279778,5.449133237,5.665986697,5.882840157,6.498770237,6.518129826,6.973889828,7.525204897,8.076519966,8.091277885,8.106035805,8.120793724,8.135551643,8.150309563,8.03085041,8.20396781,8.377085209,8.550202608,8.723320007,8.03470993,8.042153255,8.049603476,8.057060598,8.064524628,8.064524628,8.064524628
ESP,Spain,Europe,Northern Hemisphere,Very High,,27,14.0401001,14.29535961,14.53036976,15.0120697,15.33172035,15.49759007,15.68964958,15.67298031,15.62370968,15.65079975,15.70853996,15.67422962,15.60286045,15.61771965,15.74748039,15.86876011,15.94079971,15.91744041,15.95044994,15.99135971,16.33000946,16.62454033,16.95605087,17.17250061,17.29005051,17.47447014,17.54027939,17.61613083,17.75741005,17.91690063,17.91690063,17.91690063
EST,Estonia,Europe,Northern Hemisphere,Very High,,31,13.13125992,12.87829018,12.83745956,12.39554024,12.58990955,12.90907955,13.30634022,13.73643017,14.16652012,14.40664959,14.98546982,15.42988968,15.63121033,15.71774006,15.87446976,16.12035942,16.06500053,16.1149292,16.10434914,16.18021965,16.39779091,16.50271988,16.50991058,16.42387962,16.21989059,16.11494064,16.06361961,15.9211998,15.91049004,15.92895985,15.92895985,15.92895985
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175,2.947940876,2.770580053,2.603890022,2.43719999,2.270509958,2.502729893,2.884079933,3.232833306,3.581586679,3.930340052,4.308070183,4.871180058,5.240459919,5.439129829,5.791399956,6.612790108,7.119570096,7.626350085,8.133130074,8.126139641,8.187279701,8.333000183,8.405830383,8.573365192,8.744239102,8.918518663,9.096271752,9.277567601,9.462476818,9.651071421,9.651071421,9.651071421
FIN,Finland,Europe,Northern Hemisphere,Very High,,11,14.99647045,15.21839046,15.76556015,15.87520027,16.21611977,16.3091507,16.52115059,16.72907066,17.03973007,17.27614021,17.7011795,17.99418068,18.06677055,18.25947952,17.03296089,17.14310074,17.13279915,17.08893013,17.04219055,16.81093979,16.93851089,17.05632019,17.06842041,19.30257034,19.26124001,19.31862068,19.31543922,19.39711952,19.47599983,19.05192947,19.05192947,19.05192947
FJI,Fiji,Oceania,Southern Hemisphere,High,EAP,99,12.40322751,12.48120975,12.55968229,12.63815482,12.71662736,12.79509989,12.87357243,12.95204496,13.0305175,13.10899003,13.18746257,13.2659351,13.34440764,13.42288017,13.91590977,13.96721478,14.0185198,14.06982481,14.12112983,14.17243484,14.22373985,14.27504487,14.32634988,14.3776549,14.42895991,14.48026493,14.53156994,14.58287496,14.63417997,14.68548499,14.73679,14.73679
FRA,France,Europe,Northern Hemisphere,Very High,,28,14.08889008,14.47624969,14.69744968,14.79576015,15.58909988,15.70378017,15.79720974,15.76473045,15.69322014,15.03709984,14.93727016,14.8516798,14.62263966,14.66084003,14.63309956,15.19083023,15.16401005,15.09527016,15.05335999,15.02523994,15.13387966,15.19116974,15.26072025,15.41289043,15.44229031,15.42269993,15.52842999,15.64560032,15.74300957,15.81206989,15.81206989,15.81206989
FSM,Micronesia,Oceania,Northern Hemisphere,Medium,EAP,134,,,,,,,,,,,10.05416,10.216853,10.379546,10.542239,10.704932,10.867625,11.030318,11.193011,11.355704,11.1116645,11.17267438,11.20826347,11.21207659,11.17616973,11.19229604,11.084,11.25026,11.4190139,11.54947988,11.54947988,11.54947988,11.54947988
